,citizen_network_size,network_discount_factor,seed,Run,Active,Jailed,Quiescent,Seed,Speed of Rebellion Transmission,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
190,30,1.0,1,190,0,15,1091,1,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
191,30,1.0,2,191,0,20,1109,2,0.0008841732979664014,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
192,30,1.0,3,192,1,26,1104,3,0.0008818342151675485,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
193,30,1.0,4,193,0,24,1112,4,0.001759014951627089,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
194,30,1.0,5,194,0,15,1141,5,0.0008613264427217916,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
195,30,1.0,6,195,0,25,1078,6,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
196,30,1.0,7,196,0,16,1125,7,0.0,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
197,30,1.0,8,197,0,23,1132,8,0.0017301038062283738,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
198,30,1.0,9,198,0,21,1120,9,0.0008748906386701663,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
199,30,1.0,10,199,0,25,1107,10,0.00176522506619594,40,40,0.7,0.04,7,7,0.82,30,0.1,2.3,True,500
